0,238811,238169,642
100,249581,248495,1086
200,260032,259097,935
300,270714,269637,1077
400,281576,280661,915
500,292719,291067,1652
1000,345531,344004,1527
2000,450668,458417,-7749
3000,555963,526708,29255
4000,661139,554253,106886
5000,766796,728000,38796
6000,871937,871200,737
7000,977163,976176,987
8000,1082316,1081164,1152
9000,1188875,1180813,8062
10000,1294368,1286018,8350
15000,1886292,1821061,65231
20000,2349601,2348231,1370
30000,3403348,3391081,12267
34000,3824238,3814043,10195
38000,4245444,4245444,0
,,,
,,,
WEIGHT GRAMS,,,MAX DEVIATION
,,,
4000,,,106886
